REF DU MUSEE;NOM DU MUSEE;ANNEE;REGION;VILLE;DATE APPELLATION;PAYANT;GRATUIT;TOTAL;NOTE;ID MUSEOFILE;DEPARTEMENT;OBSERVATIONS
8207501;Musée Théodore Calbet;2009;MIDI-PYRENEES;GRISOLLES;01/02/2003;0;2257;2257;;;TARN-ET-GARONNE;
5905301;Forum Antique de Bavay, Musée Archéologique du Département du Nord;2009;NORD-PAS-DE-CALAIS;BAVAY;01/02/2003;9365;23459;32824;;;NORD;
5906701;Musée du Mont-de-Piété;2009;NORD-PAS-DE-CALAIS;BERGUES;01/02/2003;1409;925;2334;;;NORD;
5918304;Lieu d'Art et Action Contemporaine de Dunkerque - LAAC;2009;NORD-PAS-DE-CALAIS;DUNKERQUE;01/02/2003;23253;0;23253;;;NORD;
5920501;Musée Municipal d'Escaudain;2009;NORD-PAS-DE-CALAIS;ESCAUDAIN;01/02/2003;0;614;614;;;NORD;
5934501;Musée de la Mine, Centre Historique Minier;2009;NORD-PAS-DE-CALAIS;LEWARDE;01/02/2003;137845;13915;151760;;;NORD;
5951201;Musée des Beaux-Arts;2009;NORD-PAS-DE-CALAIS;ROUBAIX;01/02/2003;98583;109036;207619;;;NORD;
5900901;Musée d'Art Moderne de Lille Métropole;2009;NORD-PAS-DE-CALAIS;VILLENEUVE-D'ASCQ;01/02/2003;29961;9254;39215;;;NORD;
6216004;Muséum d'Histoire Naturelle;2009;NORD-PAS-DE-CALAIS;BOULOGNE-SUR-MER;01/02/2003;;;;F;;PAS-DE-CALAIS;
6219301;Musée des Beaux-Arts et de la Dentelle;2009;NORD-PAS-DE-CALAIS;CALAIS;01/02/2003;1911;12462;14373;;;PAS-DE-CALAIS;
6226801;Musée de la Céramique;2009;NORD-PAS-DE-CALAIS;DESVRES;01/02/2003;8248;535;8783;;;PAS-DE-CALAIS;
6241301;Musée d'Histoire et d'Archéologie;2009;NORD-PAS-DE-CALAIS;HARNES;01/02/2003;0;1002;1002;;;PAS-DE-CALAIS;
6276501;Musée de l'Hôtel Sandelin;2009;NORD-PAS-DE-CALAIS;SAINT-OMER;01/02/2003;3919;8069;11988;;;PAS-DE-CALAIS;
1405501;Musée Langlois;2009;BASSE-NORMANDIE;BEAUMONT-EN-AUGE;01/02/2003;785;0;785;;;CALVADOS;
1433302;Musée Eugène Boudin;2009;BASSE-NORMANDIE;HONFLEUR;01/02/2003;30489;0;30489;;;CALVADOS;
1437001;Musée de la Mine;2009;BASSE-NORMANDIE;LE MOLAY-LITTRY;01/02/2003;4710;795;5505;;;CALVADOS;
1436601;Musée d'Art et d'Histoire de Lisieux;2009;BASSE-NORMANDIE;LISIEUX;01/02/2003;511;1478;1989;;;CALVADOS;
1451201;Musée du Château;2009;BASSE-NORMANDIE;PONTECOULANT;01/02/2003;3750;1519;5269;;;CALVADOS;
1471501;Musée de Trouville - Villa Montebello;2009;BASSE-NORMANDIE;TROUVILLE-SUR-MER;01/02/2003;3467;10429;13896;;;CALVADOS;
1474701;Musée et Sites archéologiques de Vieux-la-Romaine;2009;BASSE-NORMANDIE;VIEUX;01/02/2003;3851;14539;18390;;;CALVADOS;
1476201;Musée Municipal;2009;BASSE-NORMANDIE;VIRE NORMANDIE;01/02/2003;1294;3665;4959;;;CALVADOS;
5002901;Musée de la Pomme et de la Poire;2009;BASSE-NORMANDIE;BARENTON;01/02/2003;633;3360;3993;;;MANCHE;
5008201;Musée du Vieux Château;2009;BASSE-NORMANDIE;BRICQUEBEC-EN-COTENTIN;01/02/2003;530;0;530;;;MANCHE;
5012902;Musée Thomas Henry;2009;BASSE-NORMANDIE;CHERBOURG-EN-COTENTIN;01/02/2003;0;30554;30554;;;MANCHE;
5021803;Musée Christian Dior;2009;BASSE-NORMANDIE;GRANVILLE;01/02/2003;23609;4529;28138;;;MANCHE;
5055101;Musée Barbey d'Aurevilly;2009;BASSE-NORMANDIE;SAINT-SAUVEUR-LE-VICOMTE;01/02/2003;1129;223;1352;;;MANCHE;
6116901;Musée du Château de Flers;2009;BASSE-NORMANDIE;FLERS;11/11/2002;2032;3262;5294;;;ORNE;
2737501;Musée Municipal;2009;HAUTE-NORMANDIE;LOUVIERS;01/02/2003;262;5824;6086;;;EURE;
7616401;Museoseine;2009;HAUTE-NORMANDIE;CAUDEBEC-EN-CAUX;01/02/2003;2836;1310;4146;;;SEINE-MARITIME;
7623101;Musée d'Elbeuf;2009;HAUTE-NORMANDIE;ELBEUF;01/02/2003;;;;F;;SEINE-MARITIME;
7638401;Juliobona, Musée Gallo-Romain de Lillebonne;2009;HAUTE-NORMANDIE;LILLEBONNE;01/02/2003;391;1626;2017;;;SEINE-MARITIME;
7654004;Musée des Antiquités de la Seine-Maritime;2009;HAUTE-NORMANDIE;ROUEN;01/02/2003;2191;23819;26010;;;SEINE-MARITIME;
7654009;Musée-Maison Natale Pierre Corneille;2009;HAUTE-NORMANDIE;ROUEN;01/02/2003;0;2216;2216;;;SEINE-MARITIME;
7654006;Musée Le Secq des Tournelles;2009;HAUTE-NORMANDIE;ROUEN;01/02/2003;4790;7508;12298;;;SEINE-MARITIME;
7654003;Musée Flaubert et d'Histoire de la Médecine;2009;HAUTE-NORMANDIE;ROUEN;01/02/2003;2755;3429;6184;;;SEINE-MARITIME;
4403601;Musée Municipal;2009;PAYS DE LA LOIRE;CHATEAUBRIANT;01/02/2003;;;;F;;LOIRE-ATLANTIQUE;
