;Nom officiel du musée;Commune;Code Postal;Latitude;Longitude
0;musée archéologique;Izernore;1580.0;46.219853;5.555588
1;musée du peigne et de la plasturgie;Oyonnax;10100.0;46.261019379136016;5.648075546904289
2;musée du vieux Pérouges;Pérouges;1800.0;45.903299;5.179502
3;musée Louis Jourdan;Saint-Paul-de-Varax;1240.0;46.098973;5.129264
4;musée de la Dombes;Villars-les-Dombes;1330.0;46.005784;5.032151
5;musée rural de la Sologne bourbonnaise;Beaulon;3470.0;46.466871;3.748142
6;musée des arts africains et asiatiques (maison du missionnaire);Vichy;3200.0;46.128104;3.419803
7;musée vivarois César Filhol;Annonay;7100.0;45.240803;4.668129
8;musée du Rhône;Tournon-sur-Rhône;7300.0;45.067938;4.831838
9;musée des sciences;Aurillac;15000.0;44.932919;2.444912
10;musée Crozatier;Le Puy-en-Velay;43000.0;45.03866738457689;3.883456073071687
11;musée Léon Marès;Lovagny;74330.0;45.89818;6.040579
12;musée de Rumilly et de l'Albanais;Rumilly;74150.0;45.861683;5.947732
13;musée des beaux-arts et d'archéologie;Vienne;38200.0;45.524069;4.87462
14;musée lapidaire Saint-Pierre;Vienne;38200.0;45.523234;4.870694
15;musée Mainssieux;Voiron;38500.0;45.356047;5.579652
16;musée de l'armée secrète et de la résistance;Estivareilles;42380.0;45.415906;4.010414
17;musée d'art moderne et contemporain de Saint-Etienne Métropole - musée d'art moderne;Saint-Etienne;42006.0;45.46964793515552;4.374526863293208
18;musée d'art Roger-Quillot;Clermont-Ferrand;63100.0;45.793027;3.07827
19;musée Francisque Mandet;Riom;63200.0;45.893874;3.116508
20;Lugdunum, musée et théâtres romains;Lyon;69005.0;45.760529;4.82004
21;musée des Confluences;Lyon;69002.0;45.73319;4.818042
22;musée Guimet;Lyon;69002.0;45.73319;4.818042
23;musée archéologique;Aix-les-Bains;73103.0;45.68863382600499;5.915600925206359
24;musée municipal d'Albertville-Conflans;Albertville;73200.0;45.670787;6.397471
25;musée de l'académie de la Val d'Isère;Moûtiers;73600.0;45.483424;6.532778
26;musée d'art sacré;Dijon;21000.0;47.317559;5.037282
27;musée comtois;Besançon;25000.0;47.236687;6.022095
28;muséum d'histoire naturelle;Besançon;25000.0;47.236687;6.022095
29;musée Gustave Courbet;Ornans;25290.0;47.104874;6.147697
30;écomusée du pays de la cerise;Fougerolles;70220.0;47.90731792798074;6.400821912965652
31;musée de la vigne et du vin;Arbois;39600.0;46.902412;5.773686
32;musée Sarret de Grozon;Arbois;39600.0;46.902604;5.774717
33;musée municipal d'archéologie;Champagnole;39300.0;46.74651;5.907547
34;musée d'archéologie;Lons-le-Saunier;39000.0;46.684566;5.579336
35;musée municipal;Poligny;39800.0;46.836426;5.708802
36;musée de la Grande Saline;Salins-les-Bains;39110.0;46.937242;5.876684
37;musée d'art et d'histoire Romain Rolland;Clamecy;58500.0;47.460604;3.520823
38;musée de la mine;La Machine;58260.0;46.889225;3.463514
39;musée d'art et d'archéologie;Cluny;71250.0;46.433938;4.658048
40;écomusée de la communauté Le Creusot - Montceau-les-Mines;Le Creusot - Montceau-les-Mines;71200.0;46.80448;4.428059
41;musée municipal;Louhans;71270.0;46.87264;5.275048
42;musée Guillon du compagnonnage;Romanèche-Thorins;71570.0;46.187946;4.73427
43;musée départemental de préhistoire;Solutré-Pouilly;71960.0;46.295079;4.732247
44;musée Frédéric Japy;Beaucourt;90500.0;47.485011;6.922453
45;musée d'histoire naturelle;Auxerre;89000.0;47.796936;3.564362
46;musée municipal;Sens;89100.0;48.197828;3.284505
47;port-musée;Douarnenez;29177.0;48.092534535422494;-4.332643401713885
48;musée de l'ancienne abbaye de Landévennec;Landévennec;29560.0;48.291351;-4.267455
49;musée des jacobins;Morlaix;29600.0;48.577242;-3.825317
50;musée des phares et balises;Ouessant;29242.0;48.458998;-5.128812
